,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,InfoDate
0,51,Travel_Rarely,Sales,6,2,Life Sciences,1,1,Female,1,Healthcare Representative,Married,131160,1,Y,11,8,0,1,6,1,0,0,31/12/2015
1,31,Travel_Frequently,Research & Development,10,1,Life Sciences,1,2,Female,1,Research Scientist,Single,41890,0,Y,23,8,1,6,3,5,1,4,31/12/2015
2,32,Travel_Frequently,Research & Development,17,4,Other,1,3,Male,4,Sales Executive,Married,193280,1,Y,15,8,3,5,2,5,0,3,31/12/2015
3,38,Non-Travel,Research & Development,2,5,Life Sciences,1,4,Male,3,Human Resources,Married,83210,3,Y,11,8,3,13,5,8,7,5,31/12/2015
4,32,Travel_Rarely,Research & Development,10,1,Medical,1,5,Male,1,Sales Executive,Single,23420,4,Y,12,8,2,9,2,6,0,4,31/12/2015
5,46,Travel_Rarely,Research & Development,8,3,Life Sciences,1,6,Female,4,Research Director,Married,40710,3,Y,13,8,0,28,5,7,7,7,31/12/2015
6,28,Travel_Rarely,Research & Development,11,2,Medical,1,7,Male,2,Sales Executive,Single,58130,2,Y,20,8,1,5,2,0,0,0,31/12/2015
7,29,Travel_Rarely,Research & Development,18,3,Life Sciences,1,8,Male,2,Sales Executive,Married,31430,2,Y,22,8,3,10,2,0,0,0,31/12/2015
8,31,Travel_Rarely,Research & Development,1,3,Life Sciences,1,9,Male,3,Laboratory Technician,Married,20440,0,Y,21,8,0,10,2,9,7,8,31/12/2015
9,25,Non-Travel,Research & Development,7,4,Medical,1,10,Female,4,Laboratory Technician,Divorced,134640,1,Y,13,8,1,6,2,6,1,5,31/12/2015
10,45,Travel_Rarely,Research & Development,17,2,Medical,1,11,Male,2,Laboratory Technician,Married,79910,0,Y,13,8,2,21,2,20,4,10,31/12/2015
11,36,Travel_Rarely,Research & Development,28,1,Life Sciences,1,12,Male,1,Laboratory Technician,Married,33770,0,Y,12,8,2,16,2,15,10,11,31/12/2015
12,55,Travel_Rarely,Research & Development,14,4,Life Sciences,1,13,Female,1,Sales Executive,Single,55380,0,Y,17,8,0,37,2,36,4,13,31/12/2015
13,47,Non-Travel,Research & Development,1,1,Medical,1,14,Male,1,Research Scientist,Married,57620,1,Y,11,8,2,10,4,10,9,9,31/12/2015
14,28,Travel_Rarely,Research & Development,1,3,Life Sciences,1,15,Male,1,Manufacturing Director,Married,25920,1,Y,14,8,0,5,2,5,0,4,31/12/2015
15,37,Travel_Rarely,Research & Development,1,3,Life Sciences,1,16,Male,2,Healthcare Representative,Married,53460,4,Y,11,8,0,7,2,5,0,1,31/12/2015
16,21,Travel_Rarely,Research & Development,3,2,Life Sciences,1,17,Male,1,Laboratory Technician,Single,42130,1,Y,12,8,3,3,3,3,1,0,31/12/2015
17,37,Non-Travel,Research & Development,1,3,Medical,1,18,Male,2,Sales Executive,Divorced,41270,2,Y,13,8,1,15,2,5,0,2,31/12/2015
18,35,Travel_Rarely,Sales,7,4,Life Sciences,1,19,Male,1,Sales Representative,Divorced,24380,7,Y,16,8,0,10,5,7,6,2,31/12/2015
19,38,Travel_Rarely,Research & Development,8,3,Life Sciences,1,20,Female,1,Manager,Divorced,68700,1,Y,11,8,1,8,5,8,7,7,31/12/2015
20,26,Travel_Frequently,Research & Development,1,4,Other,1,21,Male,2,Laboratory Technician,Divorced,104470,1,Y,18,8,0,6,3,6,1,4,31/12/2015
21,50,Travel_Rarely,Sales,8,4,Life Sciences,1,22,Male,1,Research Scientist,Divorced,96670,3,Y,23,8,0,28,2,10,1,6,31/12/2015
22,53,Travel_Rarely,Research & Development,11,4,Life Sciences,1,23,Female,2,Research Scientist,Married,21480,3,Y,11,8,0,21,2,5,1,3,31/12/2015
23,42,Travel_Rarely,Research & Development,4,4,Life Sciences,1,24,Male,1,Manufacturing Director,Married,89260,1,Y,14,8,0,,4,20,11,6,31/12/2015
24,29,Travel_Frequently,Research & Development,16,4,Medical,1,25,Male,1,Laboratory Technician,Single,65130,1,Y,11,8,1,10,2,10,0,9,31/12/2015
25,55,Travel_Rarely,Research & Development,1,4,Other,1,26,Female,1,Research Scientist,Married,67990,3,Y,11,8,0,12,2,10,0,8,31/12/2015
26,26,Travel_Frequently,Research & Development,9,3,Life Sciences,1,27,Female,1,Manager,Married,162910,1,Y,22,8,0,5,3,5,3,3,31/12/2015
27,37,Travel_Rarely,Sales,5,1,Marketing,1,28,Male,1,Research Scientist,Single,27050,1,Y,11,8,0,17,2,17,5,7,31/12/2015
28,44,Travel_Frequently,Research & Development,1,2,Medical,1,29,Male,2,Research Scientist,Divorced,103330,3,Y,14,8,1,19,2,1,0,0,31/12/2015
29,38,Travel_Rarely,Sales,2,3,Marketing,1,30,Female,1,Manager,Divorced,44480,9,Y,12,8,0,10,3,2,1,2,31/12/2015
30,26,Travel_Rarely,Research & Development,4,3,Medical,1,31,Male,3,Research Scientist,Divorced,68540,2,Y,11,8,0,5,5,3,0,2,31/12/2015
31,28,Travel_Rarely,Research & Development,7,3,Other,1,32,Male,1,Human Resources,Single,96370,1,Y,13,8,0,5,6,5,0,2,31/12/2015
32,49,Travel_Frequently,Research & Development,1,1,Medical,1,33,Female,2,Research Scientist,Single,35910,9,Y,13,8,0,22,2,3,1,2,31/12/2015
